platform,channel_or_tag,sector,text,date,message_id
telegram,delivery_ksa,توصيل,ذا شيفز يدفع بشكل منتظم بخلاف كيتا,2025-04-02,2006845
telegram,jahez_couriers,توصيل,ذا شيفز يدفع بشكل منتظم بخلاف كيتا,2025-04-02,2006851
telegram,jahez_couriers,توصيل,خدمة العملاء في كيتا ما تفيد تقريباً,2025-04-02,2006874
telegram,keeta_couriers,توصيل,هنجرستين وكيتا حاليًا جاهز ومرسول وذا شيفز بس اقل في الطلبات,2025-04-02,2006880
twitter,delivery_ksa,توصيل,مشوار ابو ٢٠ زمان في كيتا الحين ب٩,2025-04-02,2006885
telegram,HungerStation_drivers,توصيل,الطلبات في رمضان تجنن ٣ أضعاف العادي,2025-04-02,2006887
telegram,toYou_couriers,توصيل,كنت اشتغل مرسول زمان اطلع ٢٠٠ في اليوم على ٨ طلبات,2025-04-02,2006907
telegram,keeta_couriers,توصيل,كنت اشتغل مرسول زمان اطلع ٢٠٠ في اليوم على ٨ طلبات,2025-04-02,2006945
twitter,toYou_couriers,توصيل,المندوب المخالف يأكل حرام رزق شخص نظامي,2025-04-02,2006956
telegram,delivery_ksa,توصيل,الطلبات الليلية تساوي ضعف النهارية في كيتا,2025-04-02,2006983
twitter,toYou_couriers,توصيل,ذا شيفز تعاملهم مع المناديب أحسن من كيتا,2025-04-02,2006995
telegram,thechefs_ksa,توصيل,وصلت طلبات وطلعت ب١١٠ ريال لكن ليش ما اتضافت للسحب,2025-04-02,2006996
telegram,toYou_couriers,توصيل,والله كيتا صار يضحك علينا الطلبات وصلت الى ٦ ريال,2025-04-02,2007010
telegram,mostaql_workers,عمل_حر,مشروع ترجمة بكم تقدر تقدم,2025-04-02,2007057
telegram,freelancers_ksa,عمل_حر,نبي حماية للفريلانسر من الزبون اللي ما يدفع,2025-04-02,2007058
telegram,mostaql_workers,عمل_حر,الزبون ما دفع بعد تسليم العمل كيف أتصرف,2025-04-02,2007082
twitter,khamsat_ar,عمل_حر,دخلي من البرمجة هذا الشهر ٧٠٠٠ ريال,2025-04-02,2007099
telegram,mostaql_workers,عمل_حر,الزبائن الخليجيين يدفعون أحسن من العرب,2025-04-02,2007123
telegram,khamsat_ar,عمل_حر,الزبائن الخليجيين يدفعون أحسن من العرب,2025-04-02,2007136
twitter,CreemUber,نقل,عميل تقييمه منخفض لا تاخذ مرة,2025-04-03,2006567
telegram,Captains_saudi,نقل,جيني بدأ ينافس لكن ما زال الطلبات أقل,2025-04-03,2006577
twitter,wasselni_drivers,نقل,اليوم الأوردرات كانت ممتازة والبخشيش زين الحمد لله,2025-04-03,2006603
telegram,bolt_drivers_ksa,نقل,وصليني مافيه طلبات كافية في منطقتي,2025-04-03,2006627
telegram,kayan_ksa,نقل,بعدها على بولت خلال ٦ ساعات ٢٠٠ ريال خلال ١٦ ساعة ٧٠٠ ريال ثابتة,2025-04-03,2006655
twitter,toYou_couriers,توصيل,مو محل وموظفين اغبياء هم الغلطانين مو المندوب,2025-04-03,2006760
telegram,delivery_ksa,توصيل,مانبي نقطع رزق احد بس والله غبنه توقف عند المطاعم وتنتظر,2025-04-03,2006870
telegram,delivery_ksa,توصيل,ياخوان الطلبات وقفت عندي من ساعة م جاني ولا طلب,2025-04-03,2006916
twitter,mrsool_delivery,توصيل,الحين ١٤ طلب في كيتا وما طلعت ٢٠ ريال,2025-04-03,2006926
telegram,keeta_couriers,توصيل,يعطيكم العافيه يا شباب حولت مبلغ من كيتا ولحد الان ما وصلت,2025-04-03,2006959
telegram,jahez_couriers,توصيل,الحين ١٤ طلب في كيتا وما طلعت ٢٠ ريال,2025-04-03,2006992
twitter,khamsat_ar,عمل_حر,ضريبة القيمة المضافة على الفريلانس كيف تشتغل,2025-04-03,2007095
twitter,freelancers_ksa,عمل_حر,الزبون ما دفع بعد تسليم العمل كيف أتصرف,2025-04-03,2007097
telegram,mostaql_workers,عمل_حر,أكملت مشروع تصميم بـ ٨٠٠ ريال في مستقل,2025-04-03,2007103
telegram,mostaql_workers,عمل_حر,upwork أو مستقل أيهما أفضل للسعوديين,2025-04-03,2007105
twitter,careem_drivers_sa,نقل,كم متوسط دخل الكابتن في الرياض شهريًا حاليًا,2025-04-04,2006477
telegram,kayan_ksa,نقل,والله زمان كان فيها خير اما الان مو المستفيد الا التطبيق,2025-04-04,2006488
twitter,wasselni_drivers,نقل,من اشوف مشوار مو مناسب على طول ارفضه,2025-04-04,2006522
twitter,careem_drivers_sa,نقل,وصلت واحد المطار وكان مصري وحك الصدام من السيارة,2025-04-04,2006548
telegram,CreemUber,نقل,اوبر مادري كيف يفكرون جاني مشوار والطرق كلها مقفله,2025-04-04,2006573
twitter,careem_drivers_sa,نقل,والله زمان كان فيها خير اما الان مو المستفيد الا التطبيق,2025-04-04,2006580
telegram,wasselni_drivers,نقل,السائقين الأجانب يزاحمون على الرحلات في كريم,2025-04-04,2006599
telegram,kayan_ksa,نقل,السائقين الأجانب يزاحمون على الرحلات في كريم,2025-04-04,2006692
telegram,jeeny_ksa,نقل,السكوت ماراح ينفع خلونا نتحرك بشكل منظم,2025-04-04,2006695
telegram,Captains_saudi,نقل,اوبر زود على نسبة الالغاء وانا ما قدرت اوصل للعميل,2025-04-04,2006706
telegram,delivery_ksa,توصيل,سلام وصلت طلب وسلمته للعميل بيدي وبعد نص ساعة خصموا قيمة الطلب,2025-04-04,2006722
telegram,keeta_couriers,توصيل,وصلت ٢٠٠ طلب هذا الشهر الحمد لله,2025-04-04,2006744
telegram,toYou_couriers,توصيل,الحين ١٤ طلب في كيتا وما طلعت ٢٠ ريال,2025-04-04,2006757
telegram,jahez_couriers,توصيل,ياخوان الطلبات وقفت عندي من ساعة م جاني ولا طلب,2025-04-04,2006794
telegram,thechefs_ksa,توصيل,مرسول فتح تسجيل جديد للموصلين هذا الأسبوع,2025-04-04,2006809
telegram,keeta_couriers,توصيل,كنت اشتغل مرسول زمان اطلع ٢٠٠ في اليوم على ٨ طلبات,2025-04-04,2006811
telegram,HungerStation_drivers,توصيل,والله كيتا صار يضحك علينا الطلبات وصلت الى ٦ ريال,2025-04-04,2006833
telegram,jahez_couriers,توصيل,المندوب المخالف يأكل حرام رزق شخص نظامي,2025-04-04,2006848
telegram,delivery_ksa,توصيل,ذا شيفز الطلبات كثيرة بس المنطقة محدودة حتى الآن,2025-04-04,2006903
telegram,thechefs_ksa,توصيل,ذا شيفز الطلبات كثيرة بس المنطقة محدودة حتى الآن,2025-04-04,2006906
telegram,toYou_couriers,توصيل,كيتا الحين يقولك توصل الطلب وعشان تبلغ تأخير المطعم تنتظر,2025-04-04,2006932
telegram,HungerStation_drivers,توصيل,رحت محل اكل هندي وجبت طلب وشوربة واقعة جاني خصم ٥٠ ريال,2025-04-04,2006938
twitter,thechefs_ksa,توصيل,هنجرستين وكيتا حاليًا جاهز ومرسول وذا شيفز بس اقل في الطلبات,2025-04-04,2006986
twitter,thechefs_ksa,توصيل,جاهز أحسن من مرسول في التوزيع والسعر,2025-04-04,2006999
telegram,delivery_ksa,توصيل,هنقرستيشن يقولك رجع الطلب سوبر ماركت هنقرستيشن,2025-04-04,2007005
telegram,mrsool_delivery,توصيل,ياخوان الطلبات وقفت عندي من ساعة م جاني ولا طلب,2025-04-04,2007021
telegram,freelancers_ksa,عمل_حر,كيف أحسن بروفايلي في مستقل وأحصل على عملاء,2025-04-04,2007037
telegram,freelancers_ksa,عمل_حر,الفريلانس في السعودية بدأ ينمو بشكل كبير,2025-04-04,2007045
twitter,freelancers_ksa,عمل_حر,الفريلانس في السعودية بدأ ينمو بشكل كبير,2025-04-04,2007046
twitter,khamsat_ar,عمل_حر,التسويق الرقمي من أكثر التخصصات طلباً,2025-04-04,2007157
twitter,careem_drivers_sa,نقل,السائقين الأجانب يزاحمون على الرحلات في كريم,2025-04-05,2006474
telegram,bolt_drivers_ksa,نقل,رفضت رحلة بعيدة وخسرت bonus الاسبوع,2025-04-05,2006483
telegram,bolt_drivers_ksa,نقل,جيني وصليني الاسعار خايسه جدا يعني الكيلو اقل من ريال,2025-04-05,2006500
telegram,uber_ksa_drivers,نقل,نبي نظام تأمين صحي للسائقين مثل الموظفين,2025-04-05,2006501
telegram,uber_ksa_drivers,نقل,السائق هو الي يتعب ولابد تكون نسبة اوبر لها حد اعلى ٢٠ ريال,2025-04-05,2006585
twitter,Captains_saudi,نقل,بولت انا مااوثق في اي زبون يقولي بحولك مابحولك,2025-04-05,2006620
telegram,السائقين_السعوديين,نقل,اوبر زود على نسبة الالغاء وانا ما قدرت اوصل للعميل,2025-04-05,2006641
twitter,uber_ksa_drivers,نقل,بعدها على بولت خلال ٦ ساعات ٢٠٠ ريال خلال ١٦ ساعة ٧٠٠ ريال ثابتة,2025-04-05,2006647
telegram,bolt_drivers_ksa,نقل,اوبر زود على نسبة الالغاء وانا ما قدرت اوصل للعميل,2025-04-05,2006658
twitter,السائقين_السعوديين,نقل,محتاج سيارة جديدة السيارة الحالية تعبت من كثر الشغل,2025-04-05,2006682
twitter,careem_drivers_sa,نقل,الذروة في كريم حمراء والطلبات ورا بعض بالمدينة,2025-04-05,2006684
telegram,toYou_couriers,توصيل,رحت محل اكل هندي وجبت طلب وشوربة واقعة جاني خصم ٥٠ ريال,2025-04-05,2006731
telegram,mrsool_delivery,توصيل,الدراجة تعطلت اليوم وخسرت شغل,2025-04-05,2006821
telegram,thechefs_ksa,توصيل,هنقرستيشن يقولك رجع الطلب سوبر ماركت هنقرستيشن,2025-04-05,2006831
telegram,mrsool_delivery,توصيل,خدمة العملاء في كيتا ما تفيد تقريباً,2025-04-05,2006970
telegram,jahez_couriers,توصيل,والله كيتا صار يضحك علينا الطلبات وصلت الى ٦ ريال,2025-04-05,2006975
telegram,HungerStation_drivers,توصيل,الطلبات في رمضان تجنن ٣ أضعاف العادي,2025-04-05,2006977
telegram,toYou_couriers,توصيل,مو محل وموظفين اغبياء هم الغلطانين مو المندوب,2025-04-05,2006981
telegram,toYou_couriers,توصيل,خدمة العملاء في كيتا ما تفيد تقريباً,2025-04-05,2006987
telegram,toYou_couriers,توصيل,ياخوان الطلبات وقفت عندي من ساعة م جاني ولا طلب,2025-04-05,2007015
twitter,mostaql_workers,عمل_حر,ضريبة القيمة المضافة على الفريلانس كيف تشتغل,2025-04-05,2007048
telegram,mostaql_workers,عمل_حر,الزبون ما دفع بعد تسليم العمل كيف أتصرف,2025-04-05,2007061
telegram,freelancers_ksa,عمل_حر,نبي حماية للفريلانسر من الزبون اللي ما يدفع,2025-04-05,2007078
telegram,freelancers_ksa,عمل_حر,نبي حماية للفريلانسر من الزبون اللي ما يدفع,2025-04-05,2007110
telegram,freelancers_ksa,عمل_حر,مشروع ترجمة بكم تقدر تقدم,2025-04-05,2007116
telegram,khamsat_ar,عمل_حر,الزبون ما دفع بعد تسليم العمل كيف أتصرف,2025-04-05,2007134
telegram,uber_ksa_drivers,نقل,التامين على السيارة غالي علينا الشركات مو مهتمة,2025-04-06,2006491
telegram,wasselni_drivers,نقل,عميل تقييمه منخفض لا تاخذ مرة,2025-04-06,2006530
twitter,careem_drivers_sa,نقل,نبي نظام تأمين صحي للسائقين مثل الموظفين,2025-04-06,2006574
telegram,السائقين_السعوديين,نقل,اتمنى الجميع يركز نتحرك بشكل جماعي نرفع شكاوى لوزارة النقل,2025-04-06,2006615
telegram,bolt_drivers_ksa,نقل,السائقين الأجانب يزاحمون على الرحلات في كريم,2025-04-06,2006674
telegram,thechefs_ksa,توصيل,ذا شيفز يدفع بشكل منتظم بخلاف كيتا,2025-04-06,2006756
twitter,toYou_couriers,توصيل,سلام وصلت طلب وسلمته للعميل بيدي وبعد نص ساعة خصموا قيمة الطلب,2025-04-06,2006766
telegram,mrsool_delivery,توصيل,مشوار ابو ٢٠ زمان في كيتا الحين ب٩,2025-04-06,2006785
telegram,toYou_couriers,توصيل,كنت اشتغل مرسول زمان اطلع ٢٠٠ في اليوم على ٨ طلبات,2025-04-06,2006857
telegram,HungerStation_drivers,توصيل,الحين ١٤ طلب في كيتا وما طلعت ٢٠ ريال,2025-04-06,2006863
telegram,mrsool_delivery,توصيل,مشوار ابو ٢٠ زمان في كيتا الحين ب٩,2025-04-06,2006883
twitter,jahez_couriers,توصيل,المخالفين موصلين ٣٠٠ وشوي الشهر اللي فات انا بقوة وصلت ٢٩٠,2025-04-06,2006935
telegram,jahez_couriers,توصيل,ياخوان الطلبات وقفت عندي من ساعة م جاني ولا طلب,2025-04-06,2007030
telegram,delivery_ksa,توصيل,جدة من ٥ ايام ما في طلبات او طلبين بالكثير ايش المشكلة في كيتا,2025-04-06,2007032
twitter,khamsat_ar,عمل_حر,الفريلانس في السعودية بدأ ينمو بشكل كبير,2025-04-06,2007049
telegram,mostaql_workers,عمل_حر,أكملت مشروع تصميم بـ ٨٠٠ ريال في مستقل,2025-04-06,2007132
twitter,kayan_ksa,نقل,السائق هو الي يتعب ولابد تكون نسبة اوبر لها حد اعلى ٢٠ ريال,2025-04-07,2006475
twitter,Captains_saudi,نقل,رفضت رحلة بعيدة وخسرت bonus الاسبوع,2025-04-07,2006507
telegram,bolt_drivers_ksa,نقل,محتاج سيارة جديدة السيارة الحالية تعبت من كثر الشغل,2025-04-07,2006533
telegram,wasselni_drivers,نقل,اليوم الأوردرات كانت ممتازة والبخشيش زين الحمد لله,2025-04-07,2006540
telegram,bolt_drivers_ksa,نقل,اقل شي ٤٥٠ واعلى شي ٥٥٠ خلال ١٢ ساعة على اوبر,2025-04-07,2006543
telegram,jeeny_ksa,نقل,السائقين الأجانب يزاحمون على الرحلات في كريم,2025-04-07,2006547
twitter,wasselni_drivers,نقل,نسبة اوبر في مشوار المطار وصلت ٧٥٪ اخذ من الزبون ٥٩ ريال عطاني ١٢ فقط,2025-04-07,2006628
telegram,السائقين_السعوديين,نقل,وصلت واحد المطار وكان مصري وحك الصدام من السيارة,2025-04-07,2006632
twitter,wasselni_drivers,نقل,السائقين الأجانب يزاحمون على الرحلات في كريم,2025-04-07,2006656
twitter,bolt_drivers_ksa,نقل,أوبر أفضل من بولت في توزيع الرحلات عندي,2025-04-07,2006689
telegram,kayan_ksa,نقل,الزحمة في الرياض قاتلة والأرباح نازلة,2025-04-07,2006705
twitter,HungerStation_drivers,توصيل,مشوار ابو ٢٠ زمان في كيتا الحين ب٩,2025-04-07,2006759
telegram,HungerStation_drivers,توصيل,يعطيكم العافيه يا شباب حولت مبلغ من كيتا ولحد الان ما وصلت,2025-04-07,2006796
telegram,thechefs_ksa,توصيل,الطلبات الليلية تساوي ضعف النهارية في كيتا,2025-04-07,2006800
telegram,keeta_couriers,توصيل,الاسعار اختلفت بعد كثرة المنافسين ودخول كيتا بالاخص,2025-04-07,2006837
twitter,keeta_couriers,توصيل,الطلبات في رمضان تجنن ٣ أضعاف العادي,2025-04-07,2006965
telegram,jahez_couriers,توصيل,خدمة العملاء في كيتا ما تفيد تقريباً,2025-04-07,2006993
twitter,mostaql_workers,عمل_حر,نبي حماية للفريلانسر من الزبون اللي ما يدفع,2025-04-07,2007063
twitter,freelancers_ksa,عمل_حر,upwork أو مستقل أيهما أفضل للسعوديين,2025-04-07,2007090
twitter,CreemUber,نقل,والله زمان كان فيها خير اما الان مو المستفيد الا التطبيق,2025-04-08,2006481
twitter,CreemUber,نقل,العمل في المطارات أحسن من الشوارع الربح افضل,2025-04-08,2006493
telegram,uber_ksa_drivers,نقل,جربت كابتن في جيني وجيت الرياض والشغل مثل الشرقية,2025-04-08,2006495
twitter,careem_drivers_sa,نقل,ذروة ب كاش مع نسبتهم تشوفه مبلغ كويس بس يجيك بمشوار واحد بطاقة,2025-04-08,2006502
telegram,wasselni_drivers,نقل,اذا الوقت زاد ٨ دقايق وفوق ماافكهم غير مسويلي تعويض,2025-04-08,2006556
twitter,careem_drivers_sa,نقل,العمل في المطارات أحسن من الشوارع الربح افضل,2025-04-08,2006638
twitter,kayan_ksa,نقل,كيان التطبيق جديد بس الطلبات وايد خير من اوبر,2025-04-08,2006664
telegram,CreemUber,نقل,اقل شي ٤٥٠ واعلى شي ٥٥٠ خلال ١٢ ساعة على اوبر,2025-04-08,2006707
twitter,mrsool_delivery,توصيل,ياخوان الطلبات وقفت عندي من ساعة م جاني ولا طلب,2025-04-08,2006746
telegram,toYou_couriers,توصيل,المخالفين موصلين ٣٠٠ وشوي الشهر اللي فات انا بقوة وصلت ٢٩٠,2025-04-08,2006776
twitter,thechefs_ksa,توصيل,ياشباب امس المغرب حولت مبلغ من كيتا ولحد الان ما وصلت,2025-04-08,2006828
telegram,toYou_couriers,توصيل,رحت محل اكل هندي وجبت طلب وشوربة واقعة جاني خصم ٥٠ ريال,2025-04-08,2006908
telegram,thechefs_ksa,توصيل,كيتا يلعبون على المندوب عشان يخصمون مكافأة التوصيل في الوقت,2025-04-08,2006918
telegram,keeta_couriers,توصيل,مرسول الطلبات فل بس عيبه اطلب اي شي روح بنفسك,2025-04-08,2006923
telegram,keeta_couriers,توصيل,امس السحور ٩ ريال و ١٠ ريال من كيتا ليش ولا حق التعب,2025-04-08,2006928
telegram,HungerStation_drivers,توصيل,مرسول شغال زي لوز ما عده كيتا,2025-04-08,2006929
telegram,HungerStation_drivers,توصيل,رحت محل اكل هندي وجبت طلب وشوربة واقعة جاني خصم ٥٠ ريال,2025-04-08,2006940
telegram,toYou_couriers,توصيل,ذا شيفز تعاملهم مع المناديب أحسن من كيتا,2025-04-08,2006982
telegram,mrsool_delivery,توصيل,خدمة العملاء في كيتا ما تفيد تقريباً,2025-04-08,2007008
twitter,mostaql_workers,عمل_حر,بدأت فريلانس من بيتي والدخل تحسن الحمد لله,2025-04-08,2007051
twitter,khamsat_ar,عمل_حر,كيف أحسن بروفايلي في مستقل وأحصل على عملاء,2025-04-08,2007071
twitter,mostaql_workers,عمل_حر,التسويق الرقمي من أكثر التخصصات طلباً,2025-04-08,2007088
twitter,freelancers_ksa,عمل_حر,الزبون ما دفع بعد تسليم العمل كيف أتصرف,2025-04-08,2007096
telegram,khamsat_ar,عمل_حر,بدأت فريلانس من بيتي والدخل تحسن الحمد لله,2025-04-08,2007115
telegram,freelancers_ksa,عمل_حر,دخلي من البرمجة هذا الشهر ٧٠٠٠ ريال,2025-04-08,2007153
telegram,Captains_saudi,نقل,جيني وصليني الاسعار خايسه جدا يعني الكيلو اقل من ريال,2025-04-09,2006496
telegram,Captains_saudi,نقل,وصليني مافيه طلبات كافية في منطقتي,2025-04-09,2006590
telegram,careem_drivers_sa,نقل,وصلت واحد المطار وكان مصري وحك الصدام من السيارة,2025-04-09,2006607
twitter,wasselni_drivers,نقل,كم متوسط دخل الكابتن في الرياض شهريًا حاليًا,2025-04-09,2006623
twitter,kayan_ksa,نقل,اذا الوقت زاد ٨ دقايق وفوق ماافكهم غير مسويلي تعويض,2025-04-09,2006637
telegram,Captains_saudi,نقل,اليوم الأوردرات كانت ممتازة والبخشيش زين الحمد لله,2025-04-09,2006659
telegram,wasselni_drivers,نقل,محتاج سيارة جديدة السيارة الحالية تعبت من كثر الشغل,2025-04-09,2006678
telegram,toYou_couriers,توصيل,وصلت طلبات وطلعت ب١١٠ ريال لكن ليش ما اتضافت للسحب,2025-04-09,2006730
telegram,thechefs_ksa,توصيل,المندوب المخالف يأكل حرام رزق شخص نظامي,2025-04-09,2006751
telegram,HungerStation_drivers,توصيل,الطلبات في رمضان تجنن ٣ أضعاف العادي,2025-04-09,2006754
telegram,jahez_couriers,توصيل,واحد طالب ٣ ماء من كودو المهم يرسل يقول كنسل,2025-04-09,2006761
telegram,mrsool_delivery,توصيل,سلام وصلت طلب وسلمته للعميل بيدي وبعد نص ساعة خصموا قيمة الطلب,2025-04-09,2006768
telegram,delivery_ksa,توصيل,الطلبات في رمضان تجنن ٣ أضعاف العادي,2025-04-09,2006783
telegram,mrsool_delivery,توصيل,امس السحور ٩ ريال و ١٠ ريال من كيتا ليش ولا حق التعب,2025-04-09,2006802
telegram,mrsool_delivery,توصيل,جدة من ٥ ايام ما في طلبات او طلبين بالكثير ايش المشكلة في كيتا,2025-04-09,2006820
telegram,thechefs_ksa,توصيل,الدراجة تعطلت اليوم وخسرت شغل,2025-04-09,2006867
telegram,toYou_couriers,توصيل,وصلت ٢٠٠ طلب هذا الشهر الحمد لله,2025-04-09,2006869
telegram,HungerStation_drivers,توصيل,كيتا يلعبون على المندوب عشان يخصمون مكافأة التوصيل في الوقت,2025-04-09,2006872
telegram,mrsool_delivery,توصيل,ياخوان الطلبات وقفت عندي من ساعة م جاني ولا طلب,2025-04-09,2006920
telegram,delivery_ksa,توصيل,مرسول شغال زي لوز ما عده كيتا,2025-04-09,2006949
telegram,delivery_ksa,توصيل,ذا شيفز تعاملهم مع المناديب أحسن من كيتا,2025-04-09,2006984
telegram,HungerStation_drivers,توصيل,مرسول رقم واحد بالتعويض يقولك توصل موقع العميل كلمنا,2025-04-09,2007002
telegram,delivery_ksa,توصيل,ذا شيفز الطلبات كثيرة بس المنطقة محدودة حتى الآن,2025-04-09,2007004
telegram,toYou_couriers,توصيل,المندوب المخالف يأكل حرام رزق شخص نظامي,2025-04-09,2007025
telegram,mostaql_workers,عمل_حر,نبي حماية للفريلانسر من الزبون اللي ما يدفع,2025-04-09,2007069
twitter,freelancers_ksa,عمل_حر,الزبائن الخليجيين يدفعون أحسن من العرب,2025-04-09,2007080
twitter,freelancers_ksa,عمل_حر,نبي حماية للفريلانسر من الزبون اللي ما يدفع,2025-04-09,2007148
telegram,Captains_saudi,نقل,السكوت ماراح ينفع خلونا نتحرك بشكل منظم,2025-04-10,2006514
telegram,bolt_drivers_ksa,نقل,والله زمان كان فيها خير اما الان مو المستفيد الا التطبيق,2025-04-10,2006526
telegram,careem_drivers_sa,نقل,الزحمة في الرياض قاتلة والأرباح نازلة,2025-04-10,2006578
telegram,bolt_drivers_ksa,نقل,كيان وصليني تطبيقات واعدة بس تحتاج وقت,2025-04-10,2006613
telegram,jeeny_ksa,نقل,الذروة في كريم حمراء والطلبات ورا بعض بالمدينة,2025-04-10,2006648
telegram,السائقين_السعوديين,نقل,من اشوف مشوار مو مناسب على طول ارفضه,2025-04-10,2006667
telegram,bolt_drivers_ksa,نقل,ذروة ب كاش مع نسبتهم تشوفه مبلغ كويس بس يجيك بمشوار واحد بطاقة,2025-04-10,2006708
telegram,HungerStation_drivers,توصيل,مرسول رقم واحد بالتعويض يقولك توصل موقع العميل كلمنا,2025-04-10,2006755
telegram,toYou_couriers,توصيل,الطلبات الليلية تساوي ضعف النهارية في كيتا,2025-04-10,2006819
twitter,jahez_couriers,توصيل,الطلبات الليلية تساوي ضعف النهارية في كيتا,2025-04-10,2006830
telegram,jahez_couriers,توصيل,والله اذا موترك ينفع في النقل الموجه افضل بمليون مرة,2025-04-10,2006832
telegram,keeta_couriers,توصيل,امس السحور ٩ ريال و ١٠ ريال من كيتا ليش ولا حق التعب,2025-04-10,2006849
telegram,delivery_ksa,توصيل,توصيل في الأمطار خطر بدون مكافأة من التطبيق,2025-04-10,2007003
twitter,freelancers_ksa,عمل_حر,التسويق الرقمي من أكثر التخصصات طلباً,2025-04-10,2007033
telegram,mostaql_workers,عمل_حر,منصة خمسات أفضل للمبتدئين في العمل الحر,2025-04-10,2007040
twitter,freelancers_ksa,عمل_حر,مشروع ترجمة بكم تقدر تقدم,2025-04-10,2007047
telegram,freelancers_ksa,عمل_حر,بدأت فريلانس من بيتي والدخل تحسن الحمد لله,2025-04-10,2007073
twitter,mostaql_workers,عمل_حر,الفريلانس في السعودية بدأ ينمو بشكل كبير,2025-04-10,2007076
telegram,mostaql_workers,عمل_حر,الفريلانس في السعودية بدأ ينمو بشكل كبير,2025-04-10,2007085
telegram,mostaql_workers,عمل_حر,الزبائن الخليجيين يدفعون أحسن من العرب,2025-04-10,2007112
telegram,khamsat_ar,عمل_حر,ضريبة القيمة المضافة على الفريلانس كيف تشتغل,2025-04-10,2007147
telegram,mostaql_workers,عمل_حر,كيف أحسن بروفايلي في مستقل وأحصل على عملاء,2025-04-10,2007149
twitter,freelancers_ksa,عمل_حر,الزبون ما دفع بعد تسليم العمل كيف أتصرف,2025-04-10,2007159
telegram,uber_ksa_drivers,نقل,وصلت ٥٠ رحلة هذا الأسبوع الحمد لله رب العالمين,2025-04-11,2006490
telegram,CreemUber,نقل,إلى متى يا اوبر نسبة عالية وفوق هذا تسعيرة زي وجهك,2025-04-11,2006497
telegram,السائقين_السعوديين,نقل,الزحمة في الرياض قاتلة والأرباح نازلة,2025-04-11,2006524
telegram,uber_ksa_drivers,نقل,بعدها على بولت خلال ٦ ساعات ٢٠٠ ريال خلال ١٦ ساعة ٧٠٠ ريال ثابتة,2025-04-11,2006557
telegram,Captains_saudi,نقل,من اشوف مشوار مو مناسب على طول ارفضه,2025-04-11,2006561
telegram,jeeny_ksa,نقل,جيني وصليني الاسعار خايسه جدا يعني الكيلو اقل من ريال,2025-04-11,2006571
