date,city,sector,index_value,reviews_component,trends_component,sentiment_component,social_component,spatial_component,confidence_lower,confidence_upper,estimated_workers,data_scope
2025-05-31,بريدة,الكل,16.6,62.11,68.57,59.18,66.12,27.38,60.96,69.6,114878,spatial_only
2025-05-31,حائل,الكل,15.02,62.11,68.57,59.18,66.12,23.95,60.96,69.6,110869,spatial_only
2025-05-31,نجران,الكل,10.79,62.11,68.57,59.18,66.12,17.63,60.96,69.6,100107,spatial_only
2025-05-31,جازان,الكل,10.84,62.11,68.57,59.18,66.12,17.61,60.96,69.6,100237,spatial_only
2025-06-30,الكل,الكل,69.08,73.14,68.79,74.09,70.52,67.78,65.52,72.63,248324,national
2025-06-30,الرياض,الكل,64.62,73.14,68.79,74.09,70.52,95.58,65.52,72.63,236987,spatial_only
2025-06-30,جدة,الكل,58.85,73.14,68.79,74.09,70.52,88.43,65.52,72.63,222319,spatial_only
2025-06-30,الدمام,الكل,48.92,73.14,68.79,74.09,70.52,80.04,65.52,72.63,197056,spatial_only
2025-06-30,مكة المكرمة,الكل,42.45,73.14,68.79,74.09,70.52,60.6,65.52,72.63,180609,spatial_only
2025-06-30,المدينة المنورة,الكل,38.73,73.14,68.79,74.09,70.52,51.82,65.52,72.63,171147,spatial_only
2025-06-30,الخبر,الكل,47.91,73.14,68.79,74.09,70.52,70.71,65.52,72.63,194508,spatial_only
2025-06-30,أبها,الكل,23.68,73.14,68.79,74.09,70.52,28.96,65.52,72.63,132876,spatial_only
2025-06-30,تبوك,الكل,15.65,73.14,68.79,74.09,70.52,24.0,65.52,72.63,112464,spatial_only
2025-06-30,الطائف,الكل,26.01,73.14,68.79,74.09,70.52,35.66,65.52,72.63,138798,spatial_only
2025-06-30,بريدة,الكل,18.28,73.14,68.79,74.09,70.52,29.03,65.52,72.63,119151,spatial_only
2025-06-30,حائل,الكل,15.39,73.14,68.79,74.09,70.52,23.94,65.52,72.63,111799,spatial_only
2025-06-30,نجران,الكل,11.03,73.14,68.79,74.09,70.52,17.34,65.52,72.63,100708,spatial_only
2025-06-30,جازان,الكل,13.03,73.14,68.79,74.09,70.52,17.07,65.52,72.63,105798,spatial_only
2025-07-31,الكل,الكل,75.16,75.94,75.18,73.98,69.49,74.31,70.71,79.6,263787,national
2025-07-31,الرياض,الكل,68.83,75.94,75.18,73.98,69.49,90.9,70.71,79.6,247709,spatial_only
2025-07-31,جدة,الكل,63.78,75.94,75.18,73.98,69.49,86.11,70.71,79.6,234871,spatial_only
2025-07-31,الدمام,الكل,62.69,75.94,75.18,73.98,69.49,78.75,70.71,79.6,232097,spatial_only
2025-07-31,مكة المكرمة,الكل,46.51,75.94,75.18,73.98,69.49,61.05,70.71,79.6,190940,spatial_only
2025-07-31,المدينة المنورة,الكل,38.1,75.94,75.18,73.98,69.49,55.75,70.71,79.6,169549,spatial_only
2025-07-31,الخبر,الكل,52.73,75.94,75.18,73.98,69.49,74.93,70.71,79.6,206755,spatial_only
2025-07-31,أبها,الكل,22.16,75.94,75.18,73.98,69.49,30.6,70.71,79.6,129019,spatial_only
2025-07-31,تبوك,الكل,18.72,75.94,75.18,73.98,69.49,22.66,70.71,79.6,120265,spatial_only
2025-07-31,الطائف,الكل,28.59,75.94,75.18,73.98,69.49,36.5,70.71,79.6,145367,spatial_only
2025-07-31,بريدة,الكل,22.63,75.94,75.18,73.98,69.49,26.18,70.71,79.6,130199,spatial_only
2025-07-31,حائل,الكل,19.34,75.94,75.18,73.98,69.49,19.2,70.71,79.6,121842,spatial_only
2025-07-31,نجران,الكل,14.7,75.94,75.18,73.98,69.49,22.38,70.71,79.6,110047,spatial_only
2025-07-31,جازان,الكل,13.05,75.94,75.18,73.98,69.49,18.87,70.71,79.6,105847,spatial_only
2025-08-31,الكل,الكل,73.32,71.81,67.12,73.66,69.07,74.27,69.09,77.55,259119,national
2025-08-31,الرياض,الكل,65.98,71.81,67.12,73.66,69.07,95.6,69.09,77.55,240458,spatial_only
2025-08-31,جدة,الكل,60.98,71.81,67.12,73.66,69.07,84.66,69.09,77.55,227725,spatial_only
2025-08-31,الدمام,الكل,59.11,71.81,67.12,73.66,69.07,75.94,69.09,77.55,222981,spatial_only
2025-08-31,مكة المكرمة,الكل,45.33,71.81,67.12,73.66,69.07,63.81,69.09,77.55,187929,spatial_only
2025-08-31,المدينة المنورة,الكل,37.7,71.81,67.12,73.66,69.07,56.17,69.09,77.55,168528,spatial_only
2025-08-31,الخبر,الكل,51.84,71.81,67.12,73.66,69.07,71.56,69.09,77.55,204503,spatial_only
2025-08-31,أبها,الكل,19.52,71.81,67.12,73.66,69.07,27.36,69.09,77.55,122306,spatial_only
2025-08-31,تبوك,الكل,19.37,71.81,67.12,73.66,69.07,25.59,69.09,77.55,121929,spatial_only
2025-08-31,الطائف,الكل,26.16,71.81,67.12,73.66,69.07,35.69,69.09,77.55,139194,spatial_only
2025-08-31,بريدة,الكل,19.17,71.81,67.12,73.66,69.07,28.46,69.09,77.55,121409,spatial_only
2025-08-31,حائل,الكل,16.72,71.81,67.12,73.66,69.07,20.57,69.09,77.55,115171,spatial_only
2025-08-31,نجران,الكل,16.93,71.81,67.12,73.66,69.07,18.95,69.09,77.55,115712,spatial_only
2025-08-31,جازان,الكل,12.28,71.81,67.12,73.66,69.07,21.31,69.09,77.55,103892,spatial_only
2025-09-30,الكل,الكل,68.23,70.59,72.86,64.13,72.08,69.06,64.32,72.14,246176,national
2025-09-30,الرياض,الكل,64.76,70.59,72.86,64.13,72.08,96.29,64.32,72.14,237344,spatial_only
2025-09-30,جدة,الكل,57.71,70.59,72.86,64.13,72.08,83.79,64.32,72.14,219421,spatial_only
2025-09-30,الدمام,الكل,51.71,70.59,72.86,64.13,72.08,76.77,64.32,72.14,204172,spatial_only
2025-09-30,مكة المكرمة,الكل,41.6,70.59,72.86,64.13,72.08,61.88,64.32,72.14,178460,spatial_only
2025-09-30,المدينة المنورة,الكل,38.63,70.59,72.86,64.13,72.08,57.45,64.32,72.14,170889,spatial_only
2025-09-30,الخبر,الكل,47.79,70.59,72.86,64.13,72.08,72.91,64.32,72.14,194187,spatial_only
2025-09-30,أبها,الكل,19.94,70.59,72.86,64.13,72.08,35.44,64.32,72.14,123368,spatial_only
2025-09-30,تبوك,الكل,18.31,70.59,72.86,64.13,72.08,23.29,64.32,72.14,119221,spatial_only
2025-09-30,الطائف,الكل,21.74,70.59,72.86,64.13,72.08,35.96,64.32,72.14,127944,spatial_only
2025-09-30,بريدة,الكل,18.66,70.59,72.86,64.13,72.08,29.43,64.32,72.14,120108,spatial_only
2025-09-30,حائل,الكل,15.96,70.59,72.86,64.13,72.08,21.85,64.32,72.14,113240,spatial_only
2025-09-30,نجران,الكل,10.59,70.59,72.86,64.13,72.08,14.97,64.32,72.14,99586,spatial_only
2025-09-30,جازان,الكل,12.75,70.59,72.86,64.13,72.08,21.71,64.32,72.14,105092,spatial_only
2025-10-31,الكل,الكل,63.06,59.32,63.75,64.98,59.52,63.36,58.05,68.06,233020,national
2025-10-31,الرياض,الكل,58.44,59.32,63.75,64.98,59.52,90.21,58.05,68.06,221289,spatial_only
2025-10-31,جدة,الكل,54.5,59.32,63.75,64.98,59.52,86.42,58.05,68.06,211266,spatial_only
2025-10-31,الدمام,الكل,51.6,59.32,63.75,64.98,59.52,80.51,58.05,68.06,203890,spatial_only
2025-10-31,مكة المكرمة,الكل,35.84,59.32,63.75,64.98,59.52,59.32,58.05,68.06,163793,spatial_only
2025-10-31,المدينة المنورة,الكل,36.22,59.32,63.75,64.98,59.52,56.83,58.05,68.06,164760,spatial_only
2025-10-31,الخبر,الكل,45.17,59.32,63.75,64.98,59.52,77.71,58.05,68.06,187531,spatial_only
2025-10-31,أبها,الكل,20.06,59.32,63.75,64.98,59.52,32.27,58.05,68.06,123671,spatial_only
2025-10-31,تبوك,الكل,17.67,59.32,63.75,64.98,59.52,26.3,58.05,68.06,117602,spatial_only
2025-10-31,الطائف,الكل,21.44,59.32,63.75,64.98,59.52,36.52,58.05,68.06,127182,spatial_only
2025-10-31,بريدة,الكل,16.11,59.32,63.75,64.98,59.52,27.53,58.05,68.06,113630,spatial_only
2025-10-31,حائل,الكل,12.9,59.32,63.75,64.98,59.52,22.16,58.05,68.06,105470,spatial_only
2025-10-31,نجران,الكل,15.98,59.32,63.75,64.98,59.52,14.27,58.05,68.06,113297,spatial_only
2025-10-31,جازان,الكل,13.98,59.32,63.75,64.98,59.52,16.77,58.05,68.06,108222,spatial_only
2025-11-30,الكل,الكل,57.73,61.0,57.99,52.34,54.87,59.09,50.87,64.59,219482,national
2025-11-30,الرياض,الكل,51.94,61.0,57.99,52.34,54.87,92.93,50.87,64.59,204756,spatial_only
2025-11-30,جدة,الكل,49.34,61.0,57.99,52.34,54.87,84.0,50.87,64.59,198131,spatial_only
2025-11-30,الدمام,الكل,49.55,61.0,57.99,52.34,54.87,79.67,50.87,64.59,198673,spatial_only
2025-11-30,مكة المكرمة,الكل,31.28,61.0,57.99,52.34,54.87,61.57,50.87,64.59,152215,spatial_only
2025-11-30,المدينة المنورة,الكل,30.89,61.0,57.99,52.34,54.87,57.5,50.87,64.59,151220,spatial_only
2025-11-30,الخبر,الكل,38.83,61.0,57.99,52.34,54.87,69.77,50.87,64.59,171404,spatial_only
2025-11-30,أبها,الكل,18.33,61.0,57.99,52.34,54.87,31.73,50.87,64.59,119275,spatial_only
2025-11-30,تبوك,الكل,12.03,61.0,57.99,52.34,54.87,24.33,50.87,64.59,103260,spatial_only
2025-11-30,الطائف,الكل,19.26,61.0,57.99,52.34,54.87,33.69,50.87,64.59,121632,spatial_only
2025-11-30,بريدة,الكل,19.7,61.0,57.99,52.34,54.87,28.81,50.87,64.59,122749,spatial_only
2025-11-30,حائل,الكل,10.18,61.0,57.99,52.34,54.87,23.84,50.87,64.59,98547,spatial_only
2025-11-30,نجران,الكل,14.64,61.0,57.99,52.34,54.87,20.06,50.87,64.59,109881,spatial_only
2025-11-30,جازان,الكل,8.51,61.0,57.99,52.34,54.87,19.03,50.87,64.59,94296,spatial_only
2025-12-31,الكل,الكل,63.22,61.1,65.0,67.09,59.51,63.1,55.86,70.58,233435,national
2025-12-31,الرياض,الكل,52.0,61.1,65.0,67.09,59.51,90.45,55.86,70.58,204891,spatial_only
2025-12-31,جدة,الكل,53.42,61.1,65.0,67.09,59.51,82.8,55.86,70.58,208516,spatial_only
2025-12-31,الدمام,الكل,52.83,61.1,65.0,67.09,59.51,75.54,55.86,70.58,207010,spatial_only
2025-12-31,مكة المكرمة,الكل,37.81,61.1,65.0,67.09,59.51,61.46,55.86,70.58,168816,spatial_only
2025-12-31,المدينة المنورة,الكل,38.16,61.1,65.0,67.09,59.51,52.93,55.86,70.58,169703,spatial_only
2025-12-31,الخبر,الكل,46.58,61.1,65.0,67.09,59.51,70.02,55.86,70.58,191118,spatial_only
2025-12-31,أبها,الكل,17.0,61.1,65.0,67.09,59.51,30.92,55.86,70.58,115900,spatial_only
2025-12-31,تبوك,الكل,16.2,61.1,65.0,67.09,59.51,23.8,55.86,70.58,113866,spatial_only
2025-12-31,الطائف,الكل,22.27,61.1,65.0,67.09,59.51,34.23,55.86,70.58,129286,spatial_only
2025-12-31,بريدة,الكل,17.93,61.1,65.0,67.09,59.51,29.32,55.86,70.58,118254,spatial_only
2025-12-31,حائل,الكل,17.08,61.1,65.0,67.09,59.51,19.52,55.86,70.58,116097,spatial_only
2025-12-31,نجران,الكل,15.65,61.1,65.0,67.09,59.51,14.1,55.86,70.58,112448,spatial_only
2025-12-31,جازان,الكل,12.34,61.1,65.0,67.09,59.51,21.18,55.86,70.58,104043,spatial_only
2026-01-31,الكل,الكل,59.54,57.67,58.7,57.07,57.18,61.24,53.04,66.04,224069,national
2026-01-31,الرياض,الكل,55.79,57.67,58.7,57.07,57.18,91.11,53.04,66.04,214529,spatial_only
2026-01-31,جدة,الكل,52.58,57.67,58.7,57.07,57.18,85.91,53.04,66.04,206387,spatial_only
2026-01-31,الدمام,الكل,48.3,57.67,58.7,57.07,57.18,79.66,53.04,66.04,195499,spatial_only
2026-01-31,مكة المكرمة,الكل,34.78,57.67,58.7,57.07,57.18,60.08,53.04,66.04,161105,spatial_only
2026-01-31,المدينة المنورة,الكل,34.72,57.67,58.7,57.07,57.18,57.02,53.04,66.04,160947,spatial_only
2026-01-31,الخبر,الكل,41.63,57.67,58.7,57.07,57.18,70.23,53.04,66.04,178540,spatial_only
2026-01-31,أبها,الكل,20.42,57.67,58.7,57.07,57.18,28.82,53.04,66.04,124581,spatial_only
2026-01-31,تبوك,الكل,15.98,57.67,58.7,57.07,57.18,24.6,53.04,66.04,113294,spatial_only
2026-01-31,الطائف,الكل,20.4,57.67,58.7,57.07,57.18,37.2,53.04,66.04,124545,spatial_only
2026-01-31,بريدة,الكل,18.32,57.67,58.7,57.07,57.18,29.63,53.04,66.04,119252,spatial_only
2026-01-31,حائل,الكل,15.71,57.67,58.7,57.07,57.18,22.04,53.04,66.04,112609,spatial_only
2026-01-31,نجران,الكل,12.08,57.67,58.7,57.07,57.18,17.38,53.04,66.04,103382,spatial_only
2026-01-31,جازان,الكل,12.56,57.67,58.7,57.07,57.18,19.74,53.04,66.04,104590,spatial_only
2026-02-28,الكل,الكل,63.62,65.4,60.34,74.08,59.59,61.19,59.29,67.94,234442,national
2026-02-28,الرياض,الكل,61.16,65.4,60.34,74.08,59.59,94.08,59.29,67.94,228199,spatial_only
2026-02-28,جدة,الكل,55.51,65.4,60.34,74.08,59.59,86.56,59.29,67.94,213835,spatial_only
2026-02-28,الدمام,الكل,49.85,65.4,60.34,74.08,59.59,76.61,59.29,67.94,199435,spatial_only
2026-02-28,مكة المكرمة,الكل,39.08,65.4,60.34,74.08,59.59,59.85,59.29,67.94,172056,spatial_only
2026-02-28,المدينة المنورة,الكل,37.45,65.4,60.34,74.08,59.59,55.51,59.29,67.94,167894,spatial_only
2026-02-28,الخبر,الكل,42.88,65.4,60.34,74.08,59.59,69.36,59.29,67.94,181709,spatial_only
2026-02-28,أبها,الكل,19.91,65.4,60.34,74.08,59.59,28.87,59.29,67.94,123295,spatial_only
2026-02-28,تبوك,الكل,14.26,65.4,60.34,74.08,59.59,25.49,59.29,67.94,108923,spatial_only
2026-02-28,الطائف,الكل,22.76,65.4,60.34,74.08,59.59,33.99,59.29,67.94,130529,spatial_only
2026-02-28,بريدة,الكل,16.87,65.4,60.34,74.08,59.59,28.46,59.29,67.94,115563,spatial_only
2026-02-28,حائل,الكل,11.1,65.4,60.34,74.08,59.59,19.19,59.29,67.94,100886,spatial_only
2026-02-28,نجران,الكل,10.01,65.4,60.34,74.08,59.59,17.57,59.29,67.94,98126,spatial_only
2026-02-28,جازان,الكل,13.35,65.4,60.34,74.08,59.59,22.95,59.29,67.94,106597,spatial_only
2026-03-31,الكل,الكل,72.93,72.45,72.85,67.92,72.86,72.35,67.62,78.24,258126,national
2026-03-31,الرياض,الكل,68.1,72.45,72.85,67.92,72.86,90.85,67.62,78.24,245857,spatial_only
2026-03-31,جدة,الكل,63.25,72.45,72.85,67.92,72.86,88.37,67.62,78.24,233504,spatial_only
2026-03-31,الدمام,الكل,56.96,72.45,72.85,67.92,72.86,79.2,67.62,78.24,217512,spatial_only
2026-03-31,مكة المكرمة,الكل,46.01,72.45,72.85,67.92,72.86,60.4,67.62,78.24,189675,spatial_only
2026-03-31,المدينة المنورة,الكل,41.14,72.45,72.85,67.92,72.86,55.83,67.62,78.24,177289,spatial_only
2026-03-31,الخبر,الكل,51.25,72.45,72.85,67.92,72.86,68.45,67.62,78.24,202983,spatial_only
2026-03-31,أبها,الكل,21.93,72.45,72.85,67.92,72.86,31.0,67.62,78.24,128424,spatial_only
2026-03-31,تبوك,الكل,21.13,72.45,72.85,67.92,72.86,26.92,67.62,78.24,126407,spatial_only
2026-03-31,الطائف,الكل,29.83,72.45,72.85,67.92,72.86,33.47,67.62,78.24,148524,spatial_only
2026-03-31,بريدة,الكل,22.16,72.45,72.85,67.92,72.86,28.37,67.62,78.24,129027,spatial_only
2026-03-31,حائل,الكل,20.42,72.45,72.85,67.92,72.86,20.38,67.62,78.24,124600,spatial_only
2026-03-31,نجران,الكل,11.45,72.45,72.85,67.92,72.86,16.8,67.62,78.24,101772,spatial_only
2026-03-31,جازان,الكل,10.34,72.45,72.85,67.92,72.86,18.95,67.62,78.24,98950,spatial_only
