date,estimated_workers,official_formal_workers,gap,gap_percentage,interpretation
2025-05-31,199271,178500,20771,11.6,فائض رقمي
2025-05-31,200601,178500,22101,12.4,فائض رقمي
2025-05-31,200096,178500,21596,12.1,فائض رقمي
2025-05-31,199788,178500,21288,11.9,فائض رقمي
2025-05-31,198767,178500,20267,11.4,فائض رقمي
2025-05-31,198767,178500,20267,11.4,فائض رقمي
2025-05-31,198541,178500,20041,11.2,فائض رقمي
2025-05-31,200406,178500,21906,12.3,فائض رقمي
2025-05-31,199794,178500,21294,11.9,فائض رقمي
2025-05-31,200041,178500,21541,12.1,فائض رقمي
2025-05-31,198454,178500,19954,11.2,فائض رقمي
2025-05-31,200645,178500,22145,12.4,فائض رقمي
2025-05-31,200328,178500,21828,12.2,فائض رقمي
2025-06-01,197385,178500,18885,10.6,فائض رقمي
2025-06-01,197003,178500,18503,10.4,فائض رقمي
2025-06-01,198332,178500,19832,11.1,فائض رقمي
2025-06-01,197828,178500,19328,10.8,فائض رقمي
2025-06-01,197520,178500,19020,10.7,فائض رقمي
2025-06-01,196498,178500,17998,10.1,فائض رقمي
2025-06-01,196498,178500,17998,10.1,فائض رقمي
2025-06-01,196272,178500,17772,10.0,فائض رقمي
2025-06-01,198137,178500,19637,11.0,فائض رقمي
2025-06-01,197525,178500,19025,10.7,فائض رقمي
2025-06-01,197773,178500,19273,10.8,فائض رقمي
2025-06-01,196186,178500,17686,9.9,فائض رقمي
2025-06-01,198377,178500,19877,11.1,فائض رقمي
2025-06-01,198059,178500,19559,11.0,فائض رقمي
2025-06-30,197538,178500,19038,10.7,فائض رقمي
2025-06-30,197156,178500,18656,10.5,فائض رقمي
2025-06-30,198485,178500,19985,11.2,فائض رقمي
2025-06-30,197981,178500,19481,10.9,فائض رقمي
2025-06-30,197673,178500,19173,10.7,فائض رقمي
2025-06-30,196651,178500,18151,10.2,فائض رقمي
2025-06-30,196651,178500,18151,10.2,فائض رقمي
2025-06-30,196425,178500,17925,10.0,فائض رقمي
2025-06-30,198290,178500,19790,11.1,فائض رقمي
2025-06-30,197678,178500,19178,10.7,فائض رقمي
2025-06-30,197926,178500,19426,10.9,فائض رقمي
2025-06-30,196339,178500,17839,10.0,فائض رقمي
2025-06-30,198530,178500,20030,11.2,فائض رقمي
2025-06-30,198212,178500,19712,11.0,فائض رقمي
2025-07-01,198022,178500,19522,10.9,فائض رقمي
2025-07-01,197639,178500,19139,10.7,فائض رقمي
2025-07-01,198969,178500,20469,11.5,فائض رقمي
2025-07-01,198464,178500,19964,11.2,فائض رقمي
2025-07-01,198156,178500,19656,11.0,فائض رقمي
2025-07-01,197135,178500,18635,10.4,فائض رقمي
2025-07-01,197135,178500,18635,10.4,فائض رقمي
2025-07-01,196909,178500,18409,10.3,فائض رقمي
2025-07-01,198774,178500,20274,11.4,فائض رقمي
2025-07-01,198162,178500,19662,11.0,فائض رقمي
2025-07-01,198409,178500,19909,11.2,فائض رقمي
2025-07-01,196822,178500,18322,10.3,فائض رقمي
2025-07-01,199013,178500,20513,11.5,فائض رقمي
2025-07-01,198696,178500,20196,11.3,فائض رقمي
2025-07-31,199452,178500,20952,11.7,فائض رقمي
2025-07-31,199070,178500,20570,11.5,فائض رقمي
2025-07-31,200400,178500,21900,12.3,فائض رقمي
2025-07-31,199895,178500,21395,12.0,فائض رقمي
2025-07-31,199587,178500,21087,11.8,فائض رقمي
2025-07-31,198566,178500,20066,11.2,فائض رقمي
2025-07-31,198566,178500,20066,11.2,فائض رقمي
2025-07-31,198340,178500,19840,11.1,فائض رقمي
2025-07-31,200204,178500,21704,12.2,فائض رقمي
2025-07-31,199593,178500,21093,11.8,فائض رقمي
2025-07-31,199840,178500,21340,12.0,فائض رقمي
2025-07-31,198253,178500,19753,11.1,فائض رقمي
2025-07-31,200444,178500,21944,12.3,فائض رقمي
2025-07-31,200127,178500,21627,12.1,فائض رقمي
2025-08-01,200828,178500,22328,12.5,فائض رقمي
2025-08-01,200445,178500,21945,12.3,فائض رقمي
2025-08-01,201775,178500,23275,13.0,فائض رقمي
2025-08-01,201270,178500,22770,12.8,فائض رقمي
2025-08-01,200962,178500,22462,12.6,فائض رقمي
2025-08-01,199941,178500,21441,12.0,فائض رقمي
2025-08-01,199941,178500,21441,12.0,فائض رقمي
2025-08-01,199715,178500,21215,11.9,فائض رقمي
2025-08-01,201580,178500,23080,12.9,فائض رقمي
2025-08-01,200968,178500,22468,12.6,فائض رقمي
2025-08-01,201215,178500,22715,12.7,فائض رقمي
2025-08-01,199628,178500,21128,11.8,فائض رقمي
2025-08-01,201819,178500,23319,13.1,فائض رقمي
2025-08-01,201502,178500,23002,12.9,فائض رقمي
2025-08-31,201870,178500,23370,13.1,فائض رقمي
2025-08-31,201488,178500,22988,12.9,فائض رقمي
2025-08-31,202818,178500,24318,13.6,فائض رقمي
2025-08-31,202313,178500,23813,13.3,فائض رقمي
2025-08-31,202005,178500,23505,13.2,فائض رقمي
2025-08-31,200983,178500,22483,12.6,فائض رقمي
2025-08-31,200983,178500,22483,12.6,فائض رقمي
2025-08-31,200758,178500,22258,12.5,فائض رقمي
2025-08-31,202622,178500,24122,13.5,فائض رقمي
2025-08-31,202011,178500,23511,13.2,فائض رقمي
2025-08-31,202258,178500,23758,13.3,فائض رقمي
2025-08-31,200671,178500,22171,12.4,فائض رقمي
2025-08-31,202862,178500,24362,13.6,فائض رقمي
2025-08-31,202545,178500,24045,13.5,فائض رقمي
2025-09-01,198454,178500,19954,11.2,فائض رقمي
2025-09-01,198071,178500,19571,11.0,فائض رقمي
2025-09-01,199401,178500,20901,11.7,فائض رقمي
2025-09-01,198896,178500,20396,11.4,فائض رقمي
2025-09-01,198589,178500,20089,11.3,فائض رقمي
2025-09-01,197567,178500,19067,10.7,فائض رقمي
2025-09-01,197567,178500,19067,10.7,فائض رقمي
2025-09-01,197341,178500,18841,10.6,فائض رقمي
2025-09-01,199206,178500,20706,11.6,فائض رقمي
2025-09-01,198594,178500,20094,11.3,فائض رقمي
2025-09-01,198841,178500,20341,11.4,فائض رقمي
2025-09-01,197254,178500,18754,10.5,فائض رقمي
2025-09-01,199445,178500,20945,11.7,فائض رقمي
2025-09-01,199128,178500,20628,11.6,فائض رقمي
2025-09-30,198849,178500,20349,11.4,فائض رقمي
2025-09-30,198466,178500,19966,11.2,فائض رقمي
2025-09-30,199796,178500,21296,11.9,فائض رقمي
2025-09-30,199291,178500,20791,11.6,فائض رقمي
2025-09-30,198984,178500,20484,11.5,فائض رقمي
2025-09-30,197962,178500,19462,10.9,فائض رقمي
2025-09-30,197962,178500,19462,10.9,فائض رقمي
2025-09-30,197736,178500,19236,10.8,فائض رقمي
2025-09-30,199601,178500,21101,11.8,فائض رقمي
2025-09-30,198989,178500,20489,11.5,فائض رقمي
2025-09-30,199236,178500,20736,11.6,فائض رقمي
2025-09-30,197649,178500,19149,10.7,فائض رقمي
2025-09-30,199840,178500,21340,12.0,فائض رقمي
2025-09-30,199523,178500,21023,11.8,فائض رقمي
2025-10-01,200681,178500,22181,12.4,فائض رقمي
2025-10-01,200298,178500,21798,12.2,فائض رقمي
2025-10-01,201628,178500,23128,13.0,فائض رقمي
2025-10-01,201123,178500,22623,12.7,فائض رقمي
2025-10-01,200816,178500,22316,12.5,فائض رقمي
2025-10-01,199794,178500,21294,11.9,فائض رقمي
2025-10-01,199794,178500,21294,11.9,فائض رقمي
2025-10-01,199568,178500,21068,11.8,فائض رقمي
2025-10-01,201433,178500,22933,12.8,فائض رقمي
2025-10-01,200821,178500,22321,12.5,فائض رقمي
2025-10-01,201068,178500,22568,12.6,فائض رقمي
2025-10-01,199481,178500,20981,11.8,فائض رقمي
2025-10-01,201672,178500,23172,13.0,فائض رقمي
2025-10-01,201355,178500,22855,12.8,فائض رقمي
2025-10-31,201764,178500,23264,13.0,فائض رقمي
2025-10-31,201381,178500,22881,12.8,فائض رقمي
2025-10-31,202711,178500,24211,13.6,فائض رقمي
2025-10-31,202206,178500,23706,13.3,فائض رقمي
2025-10-31,201898,178500,23398,13.1,فائض رقمي
2025-10-31,200877,178500,22377,12.5,فائض رقمي
2025-10-31,200877,178500,22377,12.5,فائض رقمي
2025-10-31,200651,178500,22151,12.4,فائض رقمي
2025-10-31,202516,178500,24016,13.5,فائض رقمي
2025-10-31,201904,178500,23404,13.1,فائض رقمي
2025-10-31,202151,178500,23651,13.2,فائض رقمي
2025-10-31,200564,178500,22064,12.4,فائض رقمي
2025-10-31,202755,178500,24255,13.6,فائض رقمي
2025-10-31,202438,178500,23938,13.4,فائض رقمي
2025-11-01,196863,178500,18363,10.3,فائض رقمي
2025-11-01,196481,178500,17981,10.1,فائض رقمي
2025-11-01,197810,178500,19310,10.8,فائض رقمي
2025-11-01,197306,178500,18806,10.5,فائض رقمي
2025-11-01,196998,178500,18498,10.4,فائض رقمي
2025-11-01,195976,178500,17476,9.8,فائض رقمي
2025-11-01,195976,178500,17476,9.8,فائض رقمي
2025-11-01,195750,178500,17250,9.7,فائض رقمي
2025-11-01,197615,178500,19115,10.7,فائض رقمي
2025-11-01,197003,178500,18503,10.4,فائض رقمي
2025-11-01,197250,178500,18750,10.5,فائض رقمي
2025-11-01,195664,178500,17164,9.6,فائض رقمي
2025-11-01,197855,178500,19355,10.8,فائض رقمي
2025-11-01,197537,178500,19037,10.7,فائض رقمي
2025-11-30,198229,178500,19729,11.1,فائض رقمي
2025-11-30,197847,178500,19347,10.8,فائض رقمي
2025-11-30,199177,178500,20677,11.6,فائض رقمي
2025-11-30,198672,178500,20172,11.3,فائض رقمي
2025-11-30,198364,178500,19864,11.1,فائض رقمي
2025-11-30,197342,178500,18842,10.6,فائض رقمي
2025-11-30,197342,178500,18842,10.6,فائض رقمي
2025-11-30,197117,178500,18617,10.4,فائض رقمي
2025-11-30,198981,178500,20481,11.5,فائض رقمي
2025-11-30,198370,178500,19870,11.1,فائض رقمي
2025-11-30,198617,178500,20117,11.3,فائض رقمي
2025-11-30,197030,178500,18530,10.4,فائض رقمي
2025-11-30,199221,178500,20721,11.6,فائض رقمي
2025-11-30,198904,178500,20404,11.4,فائض رقمي
2025-12-01,196741,178500,18241,10.2,فائض رقمي
2025-12-01,196358,178500,17858,10.0,فائض رقمي
2025-12-01,197688,178500,19188,10.7,فائض رقمي
2025-12-01,197183,178500,18683,10.5,فائض رقمي
2025-12-01,196875,178500,18375,10.3,فائض رقمي
2025-12-01,195854,178500,17354,9.7,فائض رقمي
2025-12-01,195854,178500,17354,9.7,فائض رقمي
2025-12-01,195628,178500,17128,9.6,فائض رقمي
2025-12-01,197493,178500,18993,10.6,فائض رقمي
2025-12-01,196881,178500,18381,10.3,فائض رقمي
2025-12-01,197128,178500,18628,10.4,فائض رقمي
2025-12-01,195541,178500,17041,9.5,فائض رقمي
2025-12-01,197732,178500,19232,10.8,فائض رقمي
2025-12-01,197415,178500,18915,10.6,فائض رقمي
2025-12-31,198437,178500,19937,11.2,فائض رقمي
2025-12-31,198055,178500,19555,11.0,فائض رقمي
2025-12-31,199384,178500,20884,11.7,فائض رقمي
2025-12-31,198880,178500,20380,11.4,فائض رقمي
2025-12-31,198572,178500,20072,11.2,فائض رقمي
2025-12-31,197550,178500,19050,10.7,فائض رقمي
2025-12-31,197550,178500,19050,10.7,فائض رقمي
2025-12-31,197324,178500,18824,10.5,فائض رقمي
2025-12-31,199189,178500,20689,11.6,فائض رقمي
2025-12-31,198578,178500,20078,11.2,فائض رقمي
2025-12-31,198825,178500,20325,11.4,فائض رقمي
2025-12-31,197238,178500,18738,10.5,فائض رقمي
2025-12-31,199429,178500,20929,11.7,فائض رقمي
2025-12-31,199111,178500,20611,11.5,فائض رقمي
2026-01-01,198323,178500,19823,11.1,فائض رقمي
2026-01-01,197941,178500,19441,10.9,فائض رقمي
2026-01-01,199270,178500,20770,11.6,فائض رقمي
2026-01-01,198766,178500,20266,11.4,فائض رقمي
2026-01-01,198458,178500,19958,11.2,فائض رقمي
2026-01-01,197436,178500,18936,10.6,فائض رقمي
2026-01-01,197436,178500,18936,10.6,فائض رقمي
2026-01-01,197211,178500,18711,10.5,فائض رقمي
2026-01-01,199075,178500,20575,11.5,فائض رقمي
2026-01-01,198464,178500,19964,11.2,فائض رقمي
2026-01-01,198711,178500,20211,11.3,فائض رقمي
2026-01-01,197124,178500,18624,10.4,فائض رقمي
2026-01-01,199315,178500,20815,11.7,فائض رقمي
2026-01-01,198997,178500,20497,11.5,فائض رقمي
2026-01-31,199621,178500,21121,11.8,فائض رقمي
2026-01-31,199238,178500,20738,11.6,فائض رقمي
2026-01-31,200568,178500,22068,12.4,فائض رقمي
2026-01-31,200063,178500,21563,12.1,فائض رقمي
2026-01-31,199755,178500,21255,11.9,فائض رقمي
2026-01-31,198734,178500,20234,11.3,فائض رقمي
2026-01-31,198734,178500,20234,11.3,فائض رقمي
2026-01-31,198508,178500,20008,11.2,فائض رقمي
2026-01-31,200372,178500,21872,12.3,فائض رقمي
2026-01-31,199761,178500,21261,11.9,فائض رقمي
2026-01-31,200008,178500,21508,12.0,فائض رقمي
2026-01-31,198421,178500,19921,11.2,فائض رقمي
2026-01-31,200612,178500,22112,12.4,فائض رقمي
2026-01-31,200295,178500,21795,12.2,فائض رقمي
2026-02-01,197426,178500,18926,10.6,فائض رقمي
2026-02-01,197043,178500,18543,10.4,فائض رقمي
2026-02-01,198373,178500,19873,11.1,فائض رقمي
2026-02-01,197868,178500,19368,10.9,فائض رقمي
2026-02-01,197561,178500,19061,10.7,فائض رقمي
2026-02-01,196539,178500,18039,10.1,فائض رقمي
2026-02-01,196539,178500,18039,10.1,فائض رقمي
2026-02-01,196313,178500,17813,10.0,فائض رقمي
2026-02-01,198178,178500,19678,11.0,فائض رقمي
2026-02-01,197566,178500,19066,10.7,فائض رقمي
2026-02-01,197813,178500,19313,10.8,فائض رقمي
2026-02-01,196226,178500,17726,9.9,فائض رقمي
2026-02-01,198417,178500,19917,11.2,فائض رقمي
2026-02-01,198100,178500,19600,11.0,فائض رقمي
2026-02-28,199866,178500,21366,12.0,فائض رقمي
2026-02-28,199483,178500,20983,11.8,فائض رقمي
2026-02-28,200813,178500,22313,12.5,فائض رقمي
2026-02-28,200308,178500,21808,12.2,فائض رقمي
2026-02-28,200000,178500,21500,12.0,فائض رقمي
2026-02-28,198979,178500,20479,11.5,فائض رقمي
2026-02-28,198979,178500,20479,11.5,فائض رقمي
2026-02-28,198753,178500,20253,11.3,فائض رقمي
2026-02-28,200618,178500,22118,12.4,فائض رقمي
2026-02-28,200006,178500,21506,12.0,فائض رقمي
2026-02-28,200253,178500,21753,12.2,فائض رقمي
2026-02-28,198666,178500,20166,11.3,فائض رقمي
2026-02-28,200857,178500,22357,12.5,فائض رقمي
2026-02-28,200540,178500,22040,12.3,فائض رقمي
2026-03-01,200253,178500,21753,12.2,فائض رقمي
2026-03-01,199870,178500,21370,12.0,فائض رقمي
2026-03-01,201200,178500,22700,12.7,فائض رقمي
2026-03-01,200695,178500,22195,12.4,فائض رقمي
2026-03-01,200387,178500,21887,12.3,فائض رقمي
2026-03-01,199366,178500,20866,11.7,فائض رقمي
2026-03-01,199366,178500,20866,11.7,فائض رقمي
2026-03-01,199140,178500,20640,11.6,فائض رقمي
2026-03-01,201005,178500,22505,12.6,فائض رقمي
2026-03-01,200393,178500,21893,12.3,فائض رقمي
2026-03-01,200640,178500,22140,12.4,فائض رقمي
2026-03-01,199053,178500,20553,11.5,فائض رقمي
2026-03-01,201244,178500,22744,12.7,فائض رقمي
2026-03-01,200927,178500,22427,12.6,فائض رقمي
2026-03-31,202198,178500,23698,13.3,فائض رقمي
2026-03-31,201815,178500,23315,13.1,فائض رقمي
2026-03-31,203145,178500,24645,13.8,فائض رقمي
2026-03-31,202640,178500,24140,13.5,فائض رقمي
2026-03-31,202333,178500,23833,13.4,فائض رقمي
2026-03-31,201311,178500,22811,12.8,فائض رقمي
2026-03-31,201311,178500,22811,12.8,فائض رقمي
2026-03-31,201085,178500,22585,12.7,فائض رقمي
2026-03-31,202950,178500,24450,13.7,فائض رقمي
2026-03-31,202338,178500,23838,13.4,فائض رقمي
2026-03-31,202585,178500,24085,13.5,فائض رقمي
2026-03-31,200998,178500,22498,12.6,فائض رقمي
2026-03-31,203189,178500,24689,13.8,فائض رقمي
2026-03-31,202872,178500,24372,13.7,فائض رقمي
2026-04-01,199647,178500,21147,11.8,فائض رقمي
2026-04-01,199264,178500,20764,11.6,فائض رقمي
2026-04-01,200594,178500,22094,12.4,فائض رقمي
2026-04-01,200089,178500,21589,12.1,فائض رقمي
2026-04-01,199782,178500,21282,11.9,فائض رقمي
2026-04-01,198760,178500,20260,11.4,فائض رقمي
2026-04-01,198760,178500,20260,11.4,فائض رقمي
2026-04-01,198534,178500,20034,11.2,فائض رقمي
2026-04-01,200399,178500,21899,12.3,فائض رقمي
2026-04-01,199787,178500,21287,11.9,فائض رقمي
2026-04-01,200034,178500,21534,12.1,فائض رقمي
2026-04-01,198447,178500,19947,11.2,فائض رقمي
2026-04-01,200638,178500,22138,12.4,فائض رقمي
2026-04-01,200321,178500,21821,12.2,فائض رقمي
2026-04-03,199647,178500,21147,11.8,فائض رقمي
2026-04-03,199264,178500,20764,11.6,فائض رقمي
2026-04-03,200594,178500,22094,12.4,فائض رقمي
2026-04-03,200089,178500,21589,12.1,فائض رقمي
2026-04-03,199782,178500,21282,11.9,فائض رقمي
2026-04-03,198760,178500,20260,11.4,فائض رقمي
2026-04-03,198760,178500,20260,11.4,فائض رقمي
2026-04-03,198534,178500,20034,11.2,فائض رقمي
2026-04-03,200399,178500,21899,12.3,فائض رقمي
2026-04-03,199787,178500,21287,11.9,فائض رقمي
2026-04-03,200034,178500,21534,12.1,فائض رقمي
2026-04-03,198447,178500,19947,11.2,فائض رقمي
2026-04-03,200638,178500,22138,12.4,فائض رقمي
2026-04-03,200321,178500,21821,12.2,فائض رقمي
2026-04-30,197549,178500,19049,10.7,فائض رقمي
2026-04-30,197166,178500,18666,10.5,فائض رقمي
2026-04-30,198496,178500,19996,11.2,فائض رقمي
2026-04-30,197991,178500,19491,10.9,فائض رقمي
2026-04-30,197684,178500,19184,10.7,فائض رقمي
2026-04-30,196662,178500,18162,10.2,فائض رقمي
2026-04-30,196662,178500,18162,10.2,فائض رقمي
2026-04-30,196436,178500,17936,10.0,فائض رقمي
2026-04-30,198301,178500,19801,11.1,فائض رقمي
2026-04-30,197689,178500,19189,10.8,فائض رقمي
2026-04-30,197936,178500,19436,10.9,فائض رقمي
2026-04-30,196349,178500,17849,10.0,فائض رقمي
2026-04-30,198540,178500,20040,11.2,فائض رقمي
2026-04-30,198223,178500,19723,11.0,فائض رقمي
2026-05-31,200143,178500,21643,12.1,فائض رقمي
2026-05-31,199760,178500,21260,11.9,فائض رقمي
2026-05-31,201090,178500,22590,12.7,فائض رقمي
2026-05-31,200585,178500,22085,12.4,فائض رقمي
2026-05-31,200277,178500,21777,12.2,فائض رقمي
2026-05-31,199256,178500,20756,11.6,فائض رقمي
2026-05-31,199256,178500,20756,11.6,فائض رقمي
2026-05-31,199030,178500,20530,11.5,فائض رقمي
2026-05-31,200894,178500,22394,12.5,فائض رقمي
2026-05-31,200283,178500,21783,12.2,فائض رقمي
2026-05-31,200530,178500,22030,12.3,فائض رقمي
2026-05-31,198943,178500,20443,11.5,فائض رقمي
2026-05-31,201134,178500,22634,12.7,فائض رقمي
2026-05-31,200817,178500,22317,12.5,فائض رقمي
2026-06-30,200143,178500,21643,12.1,فائض رقمي
2026-06-30,199760,178500,21260,11.9,فائض رقمي
2026-06-30,201090,178500,22590,12.7,فائض رقمي
2026-06-30,200585,178500,22085,12.4,فائض رقمي
2026-06-30,200277,178500,21777,12.2,فائض رقمي
2026-06-30,199256,178500,20756,11.6,فائض رقمي
2026-06-30,199256,178500,20756,11.6,فائض رقمي
2026-06-30,199030,178500,20530,11.5,فائض رقمي
2026-06-30,200894,178500,22394,12.5,فائض رقمي
2026-06-30,200283,178500,21783,12.2,فائض رقمي
2026-06-30,200530,178500,22030,12.3,فائض رقمي
2026-06-30,198943,178500,20443,11.5,فائض رقمي
2026-06-30,201134,178500,22634,12.7,فائض رقمي
2026-06-30,200817,178500,22317,12.5,فائض رقمي
2026-07-31,200143,178500,21643,12.1,فائض رقمي
2026-07-31,199760,178500,21260,11.9,فائض رقمي
2026-07-31,201090,178500,22590,12.7,فائض رقمي
2026-07-31,200585,178500,22085,12.4,فائض رقمي
2026-07-31,200277,178500,21777,12.2,فائض رقمي
2026-07-31,199256,178500,20756,11.6,فائض رقمي
2026-07-31,199256,178500,20756,11.6,فائض رقمي
2026-07-31,199030,178500,20530,11.5,فائض رقمي
2026-07-31,200894,178500,22394,12.5,فائض رقمي
2026-07-31,200283,178500,21783,12.2,فائض رقمي
2026-07-31,200530,178500,22030,12.3,فائض رقمي
2026-07-31,198943,178500,20443,11.5,فائض رقمي
2026-07-31,201134,178500,22634,12.7,فائض رقمي
2026-07-31,200817,178500,22317,12.5,فائض رقمي
