keyword,date,region,interest_value
سائق أوبر,2025-10-05,SA,0.0
سائق أوبر,2025-10-12,SA,0.0
سائق أوبر,2025-10-19,SA,0.0
سائق أوبر,2025-10-26,SA,0.0
سائق أوبر,2025-11-02,SA,0.0
سائق أوبر,2025-11-09,SA,0.0
سائق أوبر,2025-11-16,SA,0.0
سائق أوبر,2025-11-23,SA,0.0
سائق أوبر,2025-11-30,SA,0.0
سائق أوبر,2025-12-07,SA,0.0
سائق أوبر,2025-12-14,SA,0.0
سائق أوبر,2025-12-21,SA,0.0
سائق أوبر,2025-12-28,SA,0.0
سائق أوبر,2026-01-04,SA,0.0
سائق أوبر,2026-01-11,SA,0.0
سائق أوبر,2026-01-18,SA,0.0
سائق أوبر,2026-01-25,SA,0.0
سائق أوبر,2026-02-01,SA,0.0
سائق أوبر,2026-02-08,SA,0.0
سائق أوبر,2026-02-15,SA,0.0
سائق أوبر,2026-02-22,SA,0.0
سائق أوبر,2026-03-01,SA,0.0
سائق أوبر,2026-03-08,SA,0.0
سائق أوبر,2026-03-15,SA,0.0
سائق أوبر,2026-03-22,SA,0.0
سائق أوبر,2026-03-29,SA,0.0
توصيل طلبات,2025-03-30,SA,100.0
توصيل طلبات,2025-04-06,SA,90.0
توصيل طلبات,2025-04-13,SA,64.0
توصيل طلبات,2025-04-20,SA,55.0
توصيل طلبات,2025-04-27,SA,63.0
توصيل طلبات,2025-05-04,SA,62.0
توصيل طلبات,2025-05-11,SA,74.0
توصيل طلبات,2025-05-18,SA,65.0
توصيل طلبات,2025-05-25,SA,66.0
توصيل طلبات,2025-06-01,SA,92.0
توصيل طلبات,2025-06-08,SA,87.0
توصيل طلبات,2025-06-15,SA,52.0
توصيل طلبات,2025-06-22,SA,74.0
توصيل طلبات,2025-06-29,SA,88.0
توصيل طلبات,2025-07-06,SA,92.0
توصيل طلبات,2025-07-13,SA,84.0
توصيل طلبات,2025-07-20,SA,89.0
توصيل طلبات,2025-07-27,SA,86.0
توصيل طلبات,2025-08-03,SA,81.0
توصيل طلبات,2025-08-10,SA,71.0
توصيل طلبات,2025-08-17,SA,68.0
توصيل طلبات,2025-08-24,SA,77.0
توصيل طلبات,2025-08-31,SA,68.0
توصيل طلبات,2025-09-07,SA,69.0
توصيل طلبات,2025-09-14,SA,65.0
توصيل طلبات,2025-09-21,SA,50.0
توصيل طلبات,2025-09-28,SA,74.0
توصيل طلبات,2025-10-05,SA,55.0
توصيل طلبات,2025-10-12,SA,60.0
توصيل طلبات,2025-10-19,SA,74.0
توصيل طلبات,2025-10-26,SA,74.0
توصيل طلبات,2025-11-02,SA,47.0
توصيل طلبات,2025-11-09,SA,73.0
توصيل طلبات,2025-11-16,SA,78.0
توصيل طلبات,2025-11-23,SA,63.0
توصيل طلبات,2025-11-30,SA,61.0
توصيل طلبات,2025-12-07,SA,78.0
توصيل طلبات,2025-12-14,SA,56.0
توصيل طلبات,2025-12-21,SA,57.0
توصيل طلبات,2025-12-28,SA,70.0
توصيل طلبات,2026-01-04,SA,47.0
توصيل طلبات,2026-01-11,SA,67.0
توصيل طلبات,2026-01-18,SA,53.0
توصيل طلبات,2026-01-25,SA,63.0
توصيل طلبات,2026-02-01,SA,59.0
توصيل طلبات,2026-02-08,SA,68.0
توصيل طلبات,2026-02-15,SA,74.0
توصيل طلبات,2026-02-22,SA,51.0
توصيل طلبات,2026-03-01,SA,72.0
توصيل طلبات,2026-03-08,SA,63.0
توصيل طلبات,2026-03-15,SA,71.0
توصيل طلبات,2026-03-22,SA,75.0
توصيل طلبات,2026-03-29,SA,60.0
careem driver registration,2025-03-30,SA,0.0
careem driver registration,2025-04-06,SA,0.0
careem driver registration,2025-04-13,SA,0.0
careem driver registration,2025-04-20,SA,0.0
careem driver registration,2025-04-27,SA,0.0
careem driver registration,2025-05-04,SA,0.0
careem driver registration,2025-05-11,SA,0.0
careem driver registration,2025-05-18,SA,0.0
careem driver registration,2025-05-25,SA,0.0
careem driver registration,2025-06-01,SA,0.0
careem driver registration,2025-06-08,SA,0.0
careem driver registration,2025-06-15,SA,0.0
careem driver registration,2025-06-22,SA,0.0
careem driver registration,2025-06-29,SA,0.0
careem driver registration,2025-07-06,SA,0.0
careem driver registration,2025-07-13,SA,0.0
careem driver registration,2025-07-20,SA,0.0
careem driver registration,2025-07-27,SA,0.0
careem driver registration,2025-08-03,SA,0.0
careem driver registration,2025-08-10,SA,0.0
careem driver registration,2025-08-17,SA,0.0
careem driver registration,2025-08-24,SA,0.0
careem driver registration,2025-08-31,SA,0.0
careem driver registration,2025-09-07,SA,0.0
careem driver registration,2025-09-14,SA,0.0
careem driver registration,2025-09-21,SA,0.0
careem driver registration,2025-09-28,SA,0.0
careem driver registration,2025-10-05,SA,0.0
careem driver registration,2025-10-12,SA,0.0
careem driver registration,2025-10-19,SA,0.0
careem driver registration,2025-10-26,SA,0.0
careem driver registration,2025-11-02,SA,0.0
careem driver registration,2025-11-09,SA,0.0
careem driver registration,2025-11-16,SA,0.0
careem driver registration,2025-11-23,SA,0.0
careem driver registration,2025-11-30,SA,0.0
careem driver registration,2025-12-07,SA,100.0
careem driver registration,2025-12-14,SA,0.0
careem driver registration,2025-12-21,SA,0.0
careem driver registration,2025-12-28,SA,0.0
careem driver registration,2026-01-04,SA,0.0
careem driver registration,2026-01-11,SA,0.0
careem driver registration,2026-01-18,SA,0.0
careem driver registration,2026-01-25,SA,0.0
careem driver registration,2026-02-01,SA,0.0
careem driver registration,2026-02-08,SA,0.0
careem driver registration,2026-02-15,SA,0.0
careem driver registration,2026-02-22,SA,0.0
careem driver registration,2026-03-01,SA,0.0
careem driver registration,2026-03-08,SA,0.0
careem driver registration,2026-03-15,SA,0.0
careem driver registration,2026-03-22,SA,0.0
careem driver registration,2026-03-29,SA,0.0
uber driver saudi,2025-03-30,SA,0.0
uber driver saudi,2025-04-06,SA,0.0
uber driver saudi,2025-04-13,SA,0.0
uber driver saudi,2025-04-20,SA,0.0
uber driver saudi,2025-04-27,SA,0.0
uber driver saudi,2025-05-04,SA,0.0
uber driver saudi,2025-05-11,SA,0.0
uber driver saudi,2025-05-18,SA,0.0
uber driver saudi,2025-05-25,SA,0.0
uber driver saudi,2025-06-01,SA,0.0
uber driver saudi,2025-06-08,SA,0.0
uber driver saudi,2025-06-15,SA,0.0
uber driver saudi,2025-06-22,SA,0.0
uber driver saudi,2025-06-29,SA,0.0
uber driver saudi,2025-07-06,SA,0.0
uber driver saudi,2025-07-13,SA,0.0
uber driver saudi,2025-07-20,SA,0.0
uber driver saudi,2025-07-27,SA,0.0
uber driver saudi,2025-08-03,SA,0.0
uber driver saudi,2025-08-10,SA,0.0
uber driver saudi,2025-08-17,SA,0.0
uber driver saudi,2025-08-24,SA,0.0
uber driver saudi,2025-08-31,SA,0.0
uber driver saudi,2025-09-07,SA,0.0
uber driver saudi,2025-09-14,SA,0.0
uber driver saudi,2025-09-21,SA,0.0
uber driver saudi,2025-09-28,SA,0.0
uber driver saudi,2025-10-05,SA,0.0
uber driver saudi,2025-10-12,SA,0.0
uber driver saudi,2025-10-19,SA,0.0
uber driver saudi,2025-10-26,SA,0.0
uber driver saudi,2025-11-02,SA,0.0
uber driver saudi,2025-11-09,SA,0.0
uber driver saudi,2025-11-16,SA,0.0
uber driver saudi,2025-11-23,SA,0.0
uber driver saudi,2025-11-30,SA,0.0
uber driver saudi,2025-12-07,SA,0.0
uber driver saudi,2025-12-14,SA,0.0
uber driver saudi,2025-12-21,SA,0.0
uber driver saudi,2025-12-28,SA,0.0
uber driver saudi,2026-01-04,SA,0.0
uber driver saudi,2026-01-11,SA,0.0
uber driver saudi,2026-01-18,SA,0.0
uber driver saudi,2026-01-25,SA,0.0
uber driver saudi,2026-02-01,SA,0.0
uber driver saudi,2026-02-08,SA,0.0
uber driver saudi,2026-02-15,SA,0.0
uber driver saudi,2026-02-22,SA,0.0
uber driver saudi,2026-03-01,SA,0.0
uber driver saudi,2026-03-08,SA,0.0
uber driver saudi,2026-03-15,SA,0.0
uber driver saudi,2026-03-22,SA,19.0
uber driver saudi,2026-03-29,SA,10.0
delivery job riyadh,2025-03-30,SA,0.0
delivery job riyadh,2025-04-06,SA,0.0
delivery job riyadh,2025-04-13,SA,0.0
delivery job riyadh,2025-04-20,SA,0.0
delivery job riyadh,2025-04-27,SA,0.0
delivery job riyadh,2025-05-04,SA,0.0
delivery job riyadh,2025-05-11,SA,0.0
delivery job riyadh,2025-05-18,SA,0.0
delivery job riyadh,2025-05-25,SA,0.0
delivery job riyadh,2025-06-01,SA,0.0
delivery job riyadh,2025-06-08,SA,0.0
delivery job riyadh,2025-06-15,SA,0.0
delivery job riyadh,2025-06-22,SA,0.0
delivery job riyadh,2025-06-29,SA,0.0
delivery job riyadh,2025-07-06,SA,0.0
delivery job riyadh,2025-07-13,SA,0.0
delivery job riyadh,2025-07-20,SA,0.0
delivery job riyadh,2025-07-27,SA,0.0
delivery job riyadh,2025-08-03,SA,0.0
delivery job riyadh,2025-08-10,SA,0.0
delivery job riyadh,2025-08-17,SA,0.0
delivery job riyadh,2025-08-24,SA,0.0
delivery job riyadh,2025-08-31,SA,0.0
delivery job riyadh,2025-09-07,SA,0.0
delivery job riyadh,2025-09-14,SA,0.0
delivery job riyadh,2025-09-21,SA,0.0
delivery job riyadh,2025-09-28,SA,0.0
delivery job riyadh,2025-10-05,SA,0.0
delivery job riyadh,2025-10-12,SA,0.0
delivery job riyadh,2025-10-19,SA,0.0
delivery job riyadh,2025-10-26,SA,0.0
delivery job riyadh,2025-11-02,SA,0.0
delivery job riyadh,2025-11-09,SA,0.0
delivery job riyadh,2025-11-16,SA,0.0
delivery job riyadh,2025-11-23,SA,0.0
delivery job riyadh,2025-11-30,SA,0.0
delivery job riyadh,2025-12-07,SA,0.0
delivery job riyadh,2025-12-14,SA,0.0
delivery job riyadh,2025-12-21,SA,0.0
delivery job riyadh,2025-12-28,SA,0.0
delivery job riyadh,2026-01-04,SA,0.0
delivery job riyadh,2026-01-11,SA,0.0
delivery job riyadh,2026-01-18,SA,0.0
delivery job riyadh,2026-01-25,SA,0.0
delivery job riyadh,2026-02-01,SA,0.0
delivery job riyadh,2026-02-08,SA,0.0
delivery job riyadh,2026-02-15,SA,0.0
delivery job riyadh,2026-02-22,SA,0.0
delivery job riyadh,2026-03-01,SA,0.0
delivery job riyadh,2026-03-08,SA,0.0
delivery job riyadh,2026-03-15,SA,0.0
delivery job riyadh,2026-03-22,SA,11.0
delivery job riyadh,2026-03-29,SA,0.0
